EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
Fundamental Research Labs,1,1,255000,Member of Technical Staff,CA,100.0
Front Row Group,1,1,105000,Senior 3D Designer,NY,100.0
"Fromkin Brothers, Inc.",1,1,93500,Cost Estimator,NJ,100.0
"Froehling & Robertson, Inc.",1,1,125000,Senior Geotechnical Engineer,VA,100.0
Freestone Grove Partners LP,1,1,200000,"Member of Technical Staff, Quantitative Developer",NY,100.0
Freeport-McMoRan Bagdad Inc.,1,1,121100,Senior Electrical Engineer,AZ,100.0
"Freemyer Industrial Pressure, LP.",1,1,104000,Lead Design Engineer,TX,100.0
"Freeman & Curiel Engineers, LLC",1,1,110000,Senior Civil/Structural Engineer,TX,100.0
Freeland Contracting Co.,1,1,85000,Senior Accountant,OH,100.0
"FreedomRoads, LLC (Camping World & Good Sam)",1,2,117500,Data Scientist,NC,50.0
Freedom Solutions Group LLC,1,1,141278,"Manager, Engineering",IL,100.0
Freedom GS Inc.,1,1,75000,Accountant,NY,100.0
Freedman International Inc.,1,1,120000,Account Director,NY,100.0
FreeWill Co.,1,1,180000,Chief of Staff,WA,100.0
Free Form Counseling LLC,1,1,171600,Psychotherapist,VA,100.0
Free & Accepted Masons of New York Grand Lodge,1,1,58917,Museum Technician,NY,100.0
"Fred Alger & Company, LLC ",1,1,250000,"Vice President, Senior Solutions Architect",NY,100.0
"Frec Markets, Inc.",1,1,250000,Head of Investment Strategies,NJ,100.0
Frec Markets Inc,1,1,280600,Senior Software Engineer,CA,100.0
Frazier Service Company,1,1,165000,Electrical Engineer,GA,100.0
Frazier Industrial Company,1,1,100131,R&D Structural Engineer,NJ,100.0
Fraseridge Realty LLC,1,1,124592,Web Developer / AI Specialist,CA,100.0
"Frasco, Inc",1,1,80000,Microsoft 365 Dynamics Administrator / Developer,FL,100.0
"Franklin Templeton Companies, LLC",1,1,145000,Senior Business Intelligence Analyst,NY,100.0
Franklin Technologies Inc,1,1,60570,Communications Specialist,MA,100.0
Franklin Surveying & Mapping Inc.,1,1,107500,Project Manager,FL,100.0
Franklin Pierce University,1,2,74753,Assistant Professor of Math,NH,50.0
Franklin Madison Group LLC,1,1,116438,"Technical Lead, Data Warehouse and Java",TN,100.0
Franklin General Hospital,1,1,61880,Medical Technologist,IA,100.0
"Franklin Foods, Inc.",1,1,165000,Sr. SAP Analyst,FL,100.0
"Franklin Energy Services, LLC",1,1,93000,"Franklin Energy Services, LLC",IL,100.0
Franklin Energy Services LLC,1,1,116438,Technical Manager 1,IL,100.0
Freeport-McMoRan Miami Inc.,1,1,130000,Senior Metallurgist,AZ,100.0
Freestone Property Group,1,1,130000,Operations Manager,NY,100.0
Frisco Tech Sol LLC,1,1,101109,Programmer Analyst,FL,100.0
"FreightWise, LLC",1,1,146275,Senior Software Engineer,OH,100.0
"Frisco Analytics, LLC",1,1,99840,Data Analyst,TX,100.0
"Friendship Shelter, Inc.",1,1,220000,Executive Director,CA,100.0
Friendship Public Charter School,1,1,114632,Middle School Math Teacher,DC,100.0
Friends of the Benedictines in the Holy Land Inc.,1,1,71157,Director of Educational Program and Legal Compliance,MD,100.0
Friends of Puerto Rico,1,1,41059,Social Innovation Program Specialist,DC,100.0
Friends of Family Health Center,1,1,239200,Physician,CA,100.0
Friends of Crown Heights Educational Centers INC,1,1,70200,Budget Analyst ,NY,100.0
Friends and Family Home Care Services LLC,1,1,103293,Health Services Manager,NY,100.0
Friendly Bible Church,1,1,82680,Youth Pastor,CA,100.0
Frictionless Solutions Inc.,1,1,115000,Technical Services Manager,IL,100.0
"Freudenberg Performance Materials, LP",1,1,110000,Product Development R&D Engineer,MI,100.0
Freshwater Society,1,1,58573,Marketing & Development Specialist,MN,100.0
"Freshop, Inc.",1,1,112793,SW Engineer II,WA,100.0
Freshfields US LLP,1,1,235000,Associate,NY,100.0
"Fresh International Raleigh, LLC",1,1,47882,Graphic Designer,NC,100.0
"Fresh Ideas, Inc.",1,1,70886,Quality Assurance Technologist,MA,100.0
"Fresh Green, LLC",1,1,70000,Financial Specialist,CA,100.0
"Fresh Coast Capital, LLC  dba: Greenprint Partners",1,1,72500,Designer,IL,100.0
"FrescoData, LLC",1,1,129064,Sr. Programmer Analyst,PA,100.0
"Fresco Technologies, Inc.",1,1,108000,Cofounder & CTO,CA,100.0
"French Park Care Center, LLC",1,1,128158,Occupational Therapist (Director of Rehab),CA,100.0
French International School of Oregon,1,1,100000,Middle School Division Head,OR,100.0
French Institute Alliance FranÃ§aise,1,1,75000,Director of Manhattan Preschool,NY,100.0
French American School of Puget Sound,1,1,96907,Lower School French Teacher,WA,100.0
"French & Parrello Associates, PA ",1,1,110000,Senior Staff Engineer - Bridge,NJ,100.0
Fremont Animal Clinic Inc.,1,1,312000,Veterinarian,CA,100.0
"Freixenet Mionetto USA, Inc.",1,1,135000,Senior Contracts Analyst,NY,100.0
"Gaia Herbs, Inc",1,1,88670,Information Systems Senior Project Manager,NC,100.0
"Gaiascope, Inc",1,1,150000,Data Scientist,CA,100.0
Green Light Pet Hospital The Woodlands LLC,1,1,230000,ER Doctor “ Doctor of Veterinary Medicine,TX,100.0
"Golden Bear Physical Therapy Sports Injury Center, Inc",1,1,104000,Physical Therapist,CA,100.0
Golden Star Inc.,1,1,87547,Mechanical Project Engineer,IL,100.0
Golden Sand River California Corporation,1,1,115000,Senior Fund Accountant,CA,100.0
Golden Point International Inc.,1,1,98114,General Counsel,NY,100.0
Golden Merchant Services Inc.,1,1,136000,Software Engineer,CA,100.0
Golden Lion Building Supply,1,1,53000,Home Development Designer,HI,100.0
Golden Line International Logistic Inc.,1,1,48000,Logistics Engineer,IL,100.0
Golden Lancaster LLC,1,1,75000,Electrical Engineer,PA,100.0
Golden IT Services LLC,1,1,91520,Quality Analyst,PA,100.0
Golden Hour Service Foundation Inc.,1,1,53373,Health Education Advocate,MA,100.0
"Golden Hills Orthopedic & Sports Physical Therapy, Inc.",1,1,104000,Physical Therapist ,CA,100.0
Golden Eagle CPAs LLC,1,1,80000,Audit Accountant,NJ,100.0
Golden Coast Distro Inc.,1,1,75005,Data Analyst,TX,100.0
"Golden Bridge Education, Inc",1,1,60000,Academic Advisor/Tutor,CA,100.0
Golden Bear Insurance Company,1,1,149781,Information Systems Managers,TX,100.0
"Goodwill Vision Enterprises, Inc.",1,1,89095,Operations Manager/Sr. Industrial Engineer,NY,100.0
"Golden Arrow Technology America, Inc.",1,1,88088,Operations (Business Program) Manager,CA,100.0
Golden Arcus Int'l Co,1,1,42952,Training Specialist,CA,100.0
"Goldbrecht, LLC",1,1,160000,Manager Technical Sales & Marketing,CA,100.0
Goldberg Lindsay & Co. LLC,1,1,165000,Associate,NY,100.0
"Goldbelt C6, LLC",1,1,67600,Operation Research Analyst,TX,100.0
Goldbelly Inc.,1,1,206000,Software Engineer,NY,100.0
"GoldSoil Realty Investments, Inc",1,1,120000,Chief Executive Officer,TX,100.0
"Gold Standard CPA, LLC",1,1,62878,Senior Accountant,VA,100.0
"Gold Creek Services, LLC",1,1,51792,Quality Assurance Coordinator,GA,100.0
Gold Circuit Electronics GSS,1,1,104000,Field Applications and Design Engineer,FL,100.0
Golbar & Associates,1,1,110000,Audit Manager,CA,100.0
Golabs INC ,1,1,75000,Business Intelligence Analyst,TX,100.0
"Goettsch Partners, Inc.",1,1,65550,Intern Architect,IL,100.0
Golden Tree Dental PLLC,1,1,148637,Dentist,TX,100.0
Golden Valley Memorial Hospital,1,1,350002,Neurologist,MO,100.0
Goldfarb & Lipman LLP,1,1,149800,Junior Attorney,CA,100.0
Goldiam USA Inc,1,1,101234,Database Administrator,NY,100.0
"Goodone Enterprise, LLC",1,1,60029,Accountant,TX,100.0
"Goodfire AI, Inc.",1,1,213512,Member of the Technical Staff,CA,100.0
"Gooder Supply Home Design, Inc.",1,1,58302,Interior Designer,CA,100.0
Goodcall AI Inc.,1,1,120000,Software Engineer,WA,100.0
GoodRoots Companies Inc.,1,1,137259,Senior Software Engineer,WA,100.0
GoodExpert Tech LLC,1,1,128640,Circuit Design Engineer,NY,100.0
GoodDay Software Inc.,1,1,250000,Head of AI Engineering,NY,100.0
Good health zone inc,1,1,83200,Pharmacy wellness coordinator,NY,100.0
Good Shepherd Rehabilitation,1,1,120000,Director of Research,PA,100.0
Good Samaritan Hospital Medical Center,1,1,416000,PICU Intensivist,NY,100.0
Good Samaritan Hospital Association,1,1,58656,Medical Technologist,ND,100.0
"Good Sam Enterprises, LLC",1,1,132434,Senior Technical Project Manager,IL,100.0
Good One IT Solutions Inc.,1,1,84635,Software Developer,OH,100.0
Good Juju Ink,1,1,55619,Senior Graphic Designer,TN,100.0
"Good Friends USA, Inc.",1,1,91603,Research Fellow,MD,100.0
"Good Company Pictures, LLC",1,1,138611,Executive Producer,NY,100.0
Gonzales Healthcare Systems,1,1,55536,Medical Technologist,TX,100.0
"Gonsalves & Santucci, Inc. dba The Conco Companies",1,2,78436,Project Engineer,CA,50.0
GonioTech LLC,1,1,100000,Senior Microwave Device Engineer,OH,100.0
Gomboc.ai Inc,1,1,117541,Product Marketing Analyst,NY,100.0
"Golin/Harris International, Inc.",1,1,50000,"Account Director, Global Communications Specialty Lead",CA,100.0
Golgix Inc.,1,1,100000,AI Engineer - Manufacturing,WI,100.0
"Golf & Tennis Pro Shop, Inc.",1,1,180000,Business Enablement Manager,GA,100.0
"Goldwind USA, Inc.",1,1,93000,Wind and SIte Engineer,IL,100.0
"Goldman Sachs Wealth Services, L.P.",1,1,87800,"Associate, Sales",IL,100.0
Goldman Sachs Bank USA,1,1,104900,"Associate, Product Management",TX,100.0
Goldin Group LLC,1,1,130000,Accounting Manager,CA,100.0
Goeschl Law Corporation,1,1,121326,Attorney,CA,100.0
Goel & Anderson LLC,1,1,69140,Law Clerk,VA,100.0
"Goebel Construction, Inc.",1,1,89502,Estimator,CA,100.0
"Global Techno IT, Inc",1,1,78000,Software Engineer,PA,100.0
"Global Tech, Inc.",1,1,150000,Systems Administrator,VA,100.0
Global Sumi Technologies Inc,1,1,129147,Senior Software Engineer,FL,100.0
"Global Steering Systems, LLC",1,1,75000,Manufacturing Engineer,CT,100.0
Global Smiles Dental 7 LLC,1,1,180000,Dentist,IN,100.0
"Global Safety Management, Inc.",1,1,102500,Software Developer,FL,100.0
Global Refrigeration,1,1,90000,Mechanical Engineer,SC,100.0
"Global Professional Search, Inc.",1,1,165000,Senior Product Manager,CA,100.0
"Global Physics Solutions, Inc.",1,1,225000,Diagnostic Medical Physicist,IL,100.0
"Global Patent Solutions, LLC",1,1,93142,Patent Research Analyst (Electrical Engineering),MN,100.0
Global Paradigm LLC,1,1,125000,Lead Solutions Architect,TX,100.0
"Global Packaging Supply, Inc.",1,1,67808,Business Development Specialist,CA,100.0
"Global Pacific Ventures, Inc.",1,1,130000,Investment Manager,CA,100.0
Global Pacific Securities US Inc,1,1,87838,Analyst,NY,100.0
Global Network of Women Peacebuilders Inc.,1,1,76731,Researcher,NY,100.0
"Global Logistical Connections, Inc.",1,1,85000,Customs Entry Writer,NC,100.0
Global Live Network,1,1,49920,Market Research Analyst and Marketing Specialist,IL,100.0
Global Link Distribution Inc.,1,1,78978,ACCOUNTANT,CA,100.0
Global Law Group Corporation,1,1,60320,Law Clerk,CA,100.0
"Global Kids, Inc",1,1,62400,Quality Assurance Manager,NY,100.0
Global Infrastructure Solutions Inc.,1,1,156832,Corporate Attorney,NY,100.0
"Global Industrial Services, Inc.",1,1,180000,Senior Salesforce Architect,NJ,100.0
"Global IT Solutions, LLC",1,1,109283,Sr. Full Stack Java Developer	,GA,100.0
Global IT Finest Inc,1,1,96616,Software Engineer,MA,100.0
Global IT Engineers LLC,1,1,67995,Data Analyst,TX,100.0
Global Geotechnical Consultants LLC,1,1,73507,Geotechnical Staff Engineer ,VA,100.0
Global Gear LLC,1,1,110000,Manufacturing/Process Engineer,IL,100.0
"Global Force USA, Inc.",1,1,106538,Software Developer,TX,100.0
"Global Technical Training Services, Inc.",1,1,110240,Lead Information Technology Consultant,SC,100.0
Global Tel Lik Corporation,1,1,144307,Principal Software Engineer,TX,100.0
Godbersen Smith Construction Company,1,1,74298,Manufacturing Engineer II,IA,100.0
Global Telecom and IT Services Inc.,1,1,87000,Network Design Engineer,TX,100.0
"God Grace Logistics, Inc.",1,1,62400,Accountant,CA,100.0
"Goal Structured Solutions, LLC",1,1,80912,Senior Accounting Analyst,CA,100.0
Go Tax Accounting & Services Inc.,1,1,67538,Accountants & Auditors,MA,100.0
"Go Rehab PT, PC",1,1,57000,Exercise Physiologist,NY,100.0
"Go Nimbly, Inc.",1,1,240000,Partner,NY,100.0
"Go Lassie, Inc.",1,1,160000,Chief Technology Officer,CA,100.0
"Gnosis Companies, LLC",1,1,105000,Analytical Strategist,SC,100.0
"Gnosis Companies, Inc",1,1,105000,Analytical Strategist,SC,100.0
Gneiss LLC,1,1,70000,Fashion Technical Designer,NJ,100.0
"Glucobit, Inc.",1,1,103542,Product Engineer,CT,100.0
Glow Community Center Inc,1,1,61000,Program Coordinator,NY,100.0
Glotman Simpson US Inc.,1,1,82000,Design Engineer,CA,100.0
"Glodon USA Software Technology Company, Inc",1,1,146307,Software Developer,CA,100.0
"Glocon, Inc.",1,1,98000,Fan Engineer,NJ,100.0
Glocal Marketing LLC,1,1,82763,Data Analyst,NY,100.0
"Globus Medical North America, Inc.",1,1,92000,"Project Engineer, Packaging",PA,100.0
Globus Medical Inc.,1,1,97000,International Regulatory Specialist,PA,100.0
Globe Origin LLC,1,1,90210,Software Programmer,GA,100.0
Globaltek Systems LLC,1,1,67000,DotNet Trainer,NJ,100.0
"Globality, Inc.",1,1,230000,Sr. Software Engineer,CA,100.0
Globalinfotech LLC,1,1,92250,RPA Business Analyst,TX,100.0
GlobalClick LLC,1,4,132221,Java UI Developer,CO,25.0
Global Vox LLC,1,1,50000,Business Consultant,FL,100.0
Global Village Academy,1,1,61362,Bilingual Elementary Teacher,CO,100.0
Global View Solutions Inc.,1,1,98000,MARKETING DIRECTOR - MARKETING ANTHROPOLOGIST,TX,100.0
Global Turn Key Services Corp,1,1,141960,Validation Engineer/Specialist,CO,100.0
Global Transportation Engineering,1,1,73486,Transportation Engineering Associate,OR,100.0
Goodville Mutual Casualty Company,1,1,119475,Senior Software Developer II,PA,100.0
Goodwill of Central and Northern Arizona,1,1,77376,HR Systems Analyst,AZ,100.0
Global Financial Group LLC,1,1,68700,Business Intelligence Analyst,IN,100.0
Gray Matter Systems LLC,1,2,114474,Controls Engineer,VA,50.0
"Great Lakes Advisors, LLC",1,1,115000,Quantitative Research Analyst,IL,100.0
Great Hill Dental Partners LLC,1,1,99861,General Dentist,MA,100.0
Great Hearts Academies,1,1,57687,Lead Music Teacher,AZ,100.0
"Great Expressions Dental Centers, PC",1,1,260000,Periodontist,MI,100.0
"Great Expressions Dental Centers of Texas, PLLC",1,1,204000,Dentist,TX,100.0
Great Expressions Dental Centers of New Jersey PC,1,1,234000,Dentist,NJ,100.0
Great Buy Products Inc,1,1,91728,Computer Programmer,CA,100.0
"Great American Associates, LLC",1,1,170000,Pharmacy Manager,MI,100.0
"Great America Technologies, Inc.",1,1,106000,Software Developer,TX,100.0
"Grazitti Interactive, Inc.",1,1,178000,Technical Architect,MO,100.0
"Grayscale Investments, LLC",1,1,300000,"Vice President, Product",CT,100.0
Graymont Western US Inc.,1,1,133900,New Products and Applications Manager,VA,100.0
"Graybar Electric Company, Inc.",1,1,170539,IT Procurement Manager,MO,100.0
Gray Matter Analytics Inc,1,2,130000,Senior Data Scientist,IL,50.0
Gordian,1,2,2509041,"VP, Business Integration",WA,50.0
Gray Inc.,1,1,307000,SVP of Strategy,KY,100.0
"Gray Decision Intelligence, Inc.",1,1,83000,Analyst,MA,100.0
"Gray Construction, Inc. ",1,1,155000,Senior Project Manager,NC,100.0
"Gray Acumen, Inc.",1,1,160000,Oracle Financial Technical Analyst,NY,100.0
Gravity Well LLC,1,1,175000,Principal Environment Artist,CA,100.0
"Graviton Consulting Services,Inc.",1,1,150000,Senior Functional Consultant,CA,100.0
Gravitate Energy LLC,1,1,107306,Senior Consultant,AR,100.0
Gravitas Tech LLC,1,1,75000,App Dev “ Java “ Lead,PA,100.0
Gratiture Solutions LLC,1,1,112000,SOFTWARE ENGINEER,TX,100.0
"Grata, Inc.",1,1,247000,Sr. Software Engineer,WA,100.0
"Grassi & Co. CPAs, P.C.",1,1,90000,Tax Senior,MA,100.0
"Grasshopper Bank, N.A.",1,1,125000,Data Engineer,MA,100.0
GraphPad Software LLC,1,1,199530,Senior Engineering Manager,MA,100.0
Great Lakes Bay Health Centers,1,1,268700,Internal Medicine Physician,MI,100.0
"Great Lakes Medical Imaging, LLC",1,1,500000,Radiologist,NY,100.0
Great Mountain Partners LLC,1,1,130000,Fund Accountant,CT,100.0
Great Plains of Republic Co. Inc.,1,1,62816,Medical Laboratory Scientist,KS,100.0
"Green Leaf Consulting Group, Inc.",1,1,190000,Database Architect (Software Developer),PA,100.0
Green Energy Origin,1,1,140000,Chief of Staff to the CEO,TX,100.0
Green Electronics Solutions Inc.,1,1,61152,Accountant,IL,100.0
"Green Country Motel Investments, LLC",1,1,64800,Operations Manager,OK,100.0
"Green Brilliance, LLC",1,1,126901,Mechanical Engineer,VA,100.0
Green Bay Area Public School District,1,1,82800,Teacher,WI,100.0
Green Apple Counseling LLC,1,1,200000,PSYCHIATRIST,MT,100.0
Green Air Link Corporation,1,1,102232,Software Developer,CA,100.0
"Green & Robinson Dental, PC",1,1,250000,Dentist,PA,100.0
Greedale Physical Therapy LLC,1,1,95000,Physical Therapist,MA,100.0
Grede II LLC,1,1,75148,Computer Information Systems Security Engineer,MI,100.0
"Gredale, LLC",1,1,180000,Financial Director - Government Services,CA,100.0
"Greco Structures, LLC",1,1,5979064,Senior Project Manager,TX,100.0
Greatland Home Health Services Inc,1,1,1620000,Software Engineer / IT Consultant,IL,100.0
Greater Sioux Community Health Center Inc.,1,1,46426,Behavioral Health Therapist,IA,100.0
"Greater Miami Hebrew Academy, Inc.",1,1,79000,Hebrew and Judaic Studies Middle School Teacher,FL,100.0
Greater Essex Dental LLC,1,1,520000,Associate Dentist,NJ,100.0
Greater Dallas Hispanic Chamber of Commerce,1,1,100000,Vice President of Operations and Sustainability,TX,100.0
Greater Cleveland Regional Transit Authority,1,1,97300,Senior Programmer Analyst,OH,100.0
"Greater Cincinnati Pathologists, Inc.",1,1,330000,Pathologist,OH,100.0
"Greater Boston Chinese Golden Age Center, Inc.",1,1,66872,Dietitian/Nutritionist,MA,100.0
"Great Western Manufacturing Company, Inc",1,1,69077,Mechanical Engineer,KS,100.0
Great West Auto,1,1,59800,Accountant,NV,100.0
Great Wall Securities LLC,1,1,88000,Great Wall Securities LLC,NY,100.0
Great Wall International Corp,1,1,73500,Interior Designer ,CA,100.0
Great South Texas Corporation,1,1,127500,Solutions Engineer,TX,100.0
Great Plains of Sabetha,1,1,66560,Medical Technologist,KS,100.0
Grapery Sales Inc,1,1,324450,Business Development,CA,100.0
Grapa Global LLC,1,1,85987,Breeding R&D Manager,CA,100.0
Granules Consumer Health LLC,1,1,195000,Senior Director - Finance,VA,100.0
Grace Church Robinson,1,1,32864,Worship Leader,TX,100.0
Grab Technology LLC,1,1,238680,"Lead Software Engineer, Backend for Identity",WA,100.0
Gozel Law Firm PC,1,1,99840,Attorney,NJ,100.0
Gowan Milling LLC,1,1,75000,Engineering Supervisor,AR,100.0
"Gowan Company, LLC",1,1,169950,Head of Asia Pacific,AZ,100.0
GovernmentCIO,1,1,152842,Software Programmer 4,PA,100.0
"Government Systems Technologies, Inc.",1,1,105000,Big Data Engineer,NJ,100.0
Government Systems Technologies Inc.,1,1,105000,Systems (Solutions) Architect and Java Developer,NY,100.0
Government Systems Technologies Inc,1,1,103000,Full Stack Developer,CA,100.0
Government Software Assurance Corp.,1,1,120000,Software Engineer,FL,100.0
"Government Scientific Source, Inc.",1,1,100087,Software Engineer,VA,100.0
"Government Employees Health Association, Inc.",1,1,134971,Sr. Cloud Data Engineer - Snowflake,TX,100.0
Governful LLC,1,1,88483,Software Engineer,MP,100.0
Govan Systems inc,1,1,105997,Software Developer,TX,100.0
Goulds Pumps IPG LLC,1,1,160000,Global Product Manager,NY,100.0
Gotham Consulting Partners LLC,1,1,260000,Management Analyst,NY,100.0
Gotham Asset Management LLC,1,1,176571,Quantitative Research Analyst,NY,100.0
"Gossamer Bio Services, Inc.",1,1,223142,"Director, Clinical Quality Assurance",NJ,100.0
Gospel Light Mennonite Church Medical Aid Plan,1,1,152500,Lead Programmer Analyst,OH,100.0
Gosp Up LLC,1,1,77958,Marketing Specialist,NY,100.0
"Gorin Tennis Academy, Inc.",1,1,89523,Accounting Specialist,WA,100.0
Gorilla Tech Inc.,1,1,94786,Management Specialist,CA,100.0
"Goree Architects, Inc.",1,1,72000,Architect,TX,100.0
"Goree Architects, INC",1,1,72413,Architecs,TX,100.0
Gore Creek Asset Management LLC,1,1,80000,Investment Associate,IL,100.0
Gordon Sales Inc,1,1,82056,Project Engineer,LA,100.0
Gordon College,1,1,62000,Assistant Professor of Business Management,MA,100.0
Gordian Software Inc.,1,2,205000,Staff Engineer,UT,50.0
Grace Anchor LLC,1,1,30000,Philosophy & Ethics Instructor,TX,100.0
Grace High School,1,1,61760,High School French Teacher,MN,100.0
Granthium Corporation,1,1,114421,Project Manager,IL,100.0
Grace Ling LLC,1,1,97760,Production Manager,NY,100.0
Granted Health Inc.,1,1,161000,Founding Software Engineer,NY,100.0
Grantd Equity Inc.,1,1,110000,Backend Software Engineer,CO,100.0
Grant Thornton LLP,1,7,145000,Managing Director CF Valuations,TX,14.3
"Granite Solutions Groupe, Inc.",1,2,156000,Senior Information Technology and Systems Consultant,PA,50.0
Granite River Labs US Solutions Corp.,1,1,205000,Senior Technical Lead,CA,100.0
Granite River Labs Inc.,1,1,149800,Staff Engineer,CA,100.0
Granges Americas Inc.,1,1,280000,Plant  Manager,NC,100.0
"Grandway Asset Management, Inc.",1,1,169998,Senior Associate (Management Analyst),CA,100.0
Grandville Calvin Christian Schools,1,1,65918,Spanish Immersion Kindergarten Teacher,MI,100.0
Grand Supercenter Inc,1,1,67850,Business Operations Research Analyst for Logistics Operation,NJ,100.0
"Grand Island Pain Relief Center, P.C.",1,1,450000,Pain Management Physician,NE,100.0
Grand Haven Christian School,1,1,68287,Elementary Spanish Immersion Teacher,MI,100.0
Grand Construction & Development Group Corp.,1,1,118186,Financial Analyst,NY,100.0
"Grand Avenue Healthcare & Wellness Centre, LP",1,1,106766,Physical Therapist,CA,100.0
"Gramercy Park Physical Therapy, PC",1,1,52000,Rehabilitation Coordinator,NY,100.0
Grameen America Inc.,1,1,190000,"Vice President, Program Strategy & Member Services",NY,100.0
Grain Group LLC,1,1,80000,Senior Analyst,NJ,100.0
Graham County Community College District,1,1,72985,International Advisor,AZ,100.0
Graham Construction and Management Inc.,1,1,146500,Project Manager,WA,100.0
Grafton Public Schools 18,1,1,49300,Elementary Teacher,ND,100.0
Graettinger-Terril Community School District,1,1,60000,High School English Teacher,IA,100.0
Grady Health System,1,1,134700,Peoplesoft Developer,GA,100.0
Gradient Experience INC,1,1,115000,Senior Experiential Designer,NY,100.0
"Gradient Ascent Labs, Inc.",1,1,162000,Software Engineer,CA,100.0
Gradient AI Corp,1,1,156023,Senior Data Engineer,NE,100.0
Gradelink Corporation ,1,1,181000,Senior Software Developer,CA,100.0
Grace Tech Consulting LLC,1,1,68640,Oracle Cloud Applications Administrator,GA,100.0
"Global Fishing Watch, Inc.",1,1,90000,"Data Scientist, Research Network",CA,100.0
Global Express International Inc.,1,1,66560,Accountant ,CA,100.0
"Gainesville Dental Associates, LLC ",1,1,182000,General Dentist,GA,100.0
"Gendelberg Law, PLLC",1,1,55000,Law Clerk,NY,100.0
General Networks Corporation,1,1,184558,Senior Solutions Consultant,CA,100.0
"General Mills, Inc",1,1,106800,Sr. D&T Data Scientist,WA,100.0
"General Logistics Systems US, Inc.",1,1,100000,Project Analyst,CA,100.0
General John J. Pershing Memorial Hospital,1,1,52000,Medical Technologist,MO,100.0
"General Datatech, LP",1,1,195519,Director US Operations,TX,100.0
General Datatech,1,1,182700,SAP Developer,TX,100.0
General Council on Finance and Administration of The United Methodist Church,1,1,85966,Data Analyst/Report Developer,TN,100.0
General Atomics,1,1,100568,Engineer III,CA,100.0
Generacion Floreciente,1,1,61110,Teacher,UT,100.0
Gener8 LLC,1,1,122000,Operations Project Manager,CA,100.0
Genedata (USA) Inc,1,1,120000,Legal Counsel,CA,100.0
Gene On Link LLC,1,1,52000,Biological Technician,CA,100.0
"Gene Kaufman Architect, PC",1,1,68000,Architectural Intern,NY,100.0
Genboo LLC,1,1,140254,Product Designer,CA,100.0
Genovo Corporation,1,1,108451,Financial Manager,CA,100.0
"Genbio.AI, Inc.",1,1,349440,Head of Infrastructure,CA,100.0
"GenBio.AI, Inc.",1,1,240000,Sr. Research Scientist,CA,100.0
"Geminus.ai, Inc.",1,1,150000,Machine Learning Engineer,TX,100.0
"Gemini Software Services, LLC.",1,1,210000,"Senior Platform Engineer, Site Reliability Engineering",NC,100.0
Gemini Software Services,1,1,130000,"Software Developer, Security",WA,100.0
"Gemini Company Services, LLC",1,1,90000,"Analyst, Consumer Credit Risk",NY,100.0
"Gemini Business Operations, LLC.",1,1,190000,Senior Ledger Operations Engineer,NY,100.0
Gekit Inc.,1,1,218000,Founding Engineer,MA,100.0
"Geismar North America, Inc.",1,1,83200,Senior Project/Mechanical Design Engineer,SC,100.0
Geisinger Medical Center Muncy,1,1,63960,Medical Laboratory Scientist,PA,100.0
Geisinger Lewistown Hospital ,1,1,65603,"Medical Resident, Family Medicine",PA,100.0
Geisinger Commonwealth School of Medicine,1,1,62400,"Assistant Professor, Anatomy",PA,100.0
Geisinger Bloomsburg Hospital,1,1,68307,Medical Resident Physical Medicine & Rehabilitation (PGY2-4),PA,100.0
Generate Capital PBC,1,1,112329,"Compensation, Benefits, and Job Analysis Specialist",NY,100.0
Generation Hospitality Group LLC,1,1,55890,Motel Property Manager,MT,100.0
"Generation Lab, Inc.",1,1,105560,Senior DevOps Engineer,CA,100.0
"Generations Family Health Center, Inc",1,1,220375,Family Medicine Physician,CT,100.0
Genostats Corp,1,1,107016,Business Intelligence Analyst II,NC,100.0
"Genomatica, Inc. ",1,1,131970,Process Biochemist,CA,100.0
Genix Networks Inc.,1,1,120000,Field Application Engineer,CA,100.0
"Geng & Associates, P.C.",1,1,52146,Law Clerk,NY,100.0
"Genezen MA, Inc.",1,2,142500,Director of Financial Planning and Analysis,MA,50.0
"Genezen Labs, Inc.",1,1,100000,"Scientist I, Analytical Development",IN,100.0
"Genezen Laboratories, Inc.",1,1,100000,"Scientist I, Analytical Development",IN,100.0
Genex Systems LLC,1,1,100000,Research Chemist,VA,100.0
"Genesys Enterprise Technology Solutions, LLC",1,1,101816,Business Intelligence Analyst,NJ,100.0
Genesys Cloud Services Inc.,1,1,110000,Senior Application Developer - Financial Reporting,TX,100.0
Genesis Systems LLC,1,1,130000,Chief Technology Officer,FL,100.0
Genesis Software Solutions Inc,1,1,104000,Computer Systems Analyst,MI,100.0
Genesis Intelligence Inc.,1,1,300000,Data Engineer,CA,100.0
Genesis Healthcare System,1,1,264306,Physician,OH,100.0
Genesis Health Inc,1,1,69202,Registered Nurse- NCSS Float,IA,100.0
Genesis Health,1,1,96138,Registered Nurse- NCSS Float,IA,100.0
"Genesis Global Recruiting, Inc.",1,1,110094,Cloud Administrator,CA,100.0
"Genesis Fertility and Reproductive Medicine, P.C.",1,1,400000,REI Attending Physician,NY,100.0
